,Mo Implanted Target,Ta Implanted Target,W Implanted Target,Weighted Average
$F(\tau)_{6.79}$,$0.995 \pm 0.019$,$ 0.983 \pm 0.019$,$0.978 \pm 0.015$,
$\tau_{6.79}$ (fs),$0.2^{+0.7}_{-0.2}$,$0.7^{+0.9}_{-0.7}$,$0.9 \pm 0.6$,$0.6 \pm 0.4$
