,Mo Implanted Target,Ta Implanted Target,W Implanted Target,Weighted Average
$F(\tau)_{6.17}$,$0.992 \pm 0.014$,$0.976 \pm 0.017$,$0.988 \pm 0.016$,
$\tau_{6.17}$ (fs),$0.4^{+0.7}_{-0.4}$,$1.4 \pm 1.0$,$0.6^{+0.9}_{-0.6}$,$0.7 \pm 0.5$
