,Mo Implanted Target,Ta Implanted Target,W Implanted Target,Weighted Average
$F(\tau)_{5.18}$,$9.04 \pm 0.013$,$0.911 \pm 0.016$,$9.12 \pm 0.015$,
$\tau_{5.18}$ (fs),$﻿7.1^{+4.8}_{-2.3}$,$7.1 \pm 5.5$,$8.0 \pm 6.7$,$7.5 \pm 3.0$
