Accelerator,Ion Source,Beam Intensities ($\mu$A),Experiment,Full Voltage Range (MV),Experimental Voltage Range
JN Van de Graaff,Radio Frequency,150,CASPAR Cross-Section,0.25 - 5.00,0.27 - 0.11
5U Van de Graaff,Electron-Cyclotron Resonance,50,Lifetime,0.25 - 1.10,1.0 - 1.5
